# rom_bss_layout.tsv -- the original linker's BSS allocation, keyed by port symbol+offset.
# Generated by bss_remap.py --gen against DATA/LCP_ORG.PRG; regenerate after any
# layout-affecting source change and review the diff.  Columns: symbol offset rom_addr.
# bss_size 237744
_g_seacy	0x8	0x499ba
_g_sepeh	0x0	0x499c2
_g_sepeh	0x6	0x499c8
_g_sepeh	0x8	0x499ca
_body_pt	0x0	0x499d2
__fds	0x0	0x499d6
__fds	0x6a8	0x4a07e
_xyzzx	0x0	0x4bd56
_g_ltscb	0x0	0x4bd5a
_bshdbuf	0x0	0x4bd9a
_g_sedew	0x0	0x4ddc2
_g_sedew	0x42	0x4de04
_g_hsbuf	0x0	0x4de3a
_addr_ou	0x0	0x4df8a
_lcp	0x0	0x4df8e
_lcp	0x2	0x4df90
_lcp	0x4	0x4df92
_lcp	0x6	0x4df94
_lcp	0x8	0x4df96
_lcp	0xa	0x4df98
_lcp	0xc	0x4df9a
_lcp	0xe	0x4df9c
_lcp	0x28	0x4dfb6
_lcp	0x2a	0x4dfb8
_lcp	0x2c	0x4dfba
_lcp	0x2e	0x4dfbc
_lcp	0x30	0x4dfbe
_lcp	0x32	0x4dfc0
_lcp	0x34	0x4dfc2
_lcp	0x36	0x4dfc4
_lcp	0x38	0x4dfc6
_lcp	0x3a	0x4dfc8
_lcp	0x3c	0x4dfca
_lcp	0x3e	0x4dfcc
_lcp	0x40	0x4dfce
_lcp	0x42	0x4dfd0
_lcp	0x44	0x4dfd2
_lcp	0x46	0x4dfd4
_lcp	0x48	0x4dfd6
_lcp	0x4a	0x4dfd8
_lcp	0x4c	0x4dfda
_lcp	0x4e	0x4dfdc
_lcp	0x52	0x4dfe0
_lcp	0x54	0x4dfe2
_lcp	0x56	0x4dfe4
_lcp	0x58	0x4dfe6
_lcp	0x5a	0x4dfe8
_lcp	0x5c	0x4dfea
_lcp	0x5e	0x4dfec
_lcp	0x5f	0x4dfed
_lcp	0x60	0x4dfee
_lcp	0x61	0x4dfef
_lcp	0x62	0x4dff0
_lcp	0x63	0x4dff1
_lcp	0x76	0x4e004
_g_seams	0x0	0x4e00e
_g_seams	0x4	0x4e012
_g_seams	0x8	0x4e016
_g_seams	0x14	0x4e022
_g_seams	0x18	0x4e026
_g_seams	0x1c	0x4e02a
_pk_ch	0x0	0x4e02e
_mi_ntLp	0x0	0x4e062
_g_dfmab	0x0	0x4e162
